coding,jobid
0,18151848
0,18422373
310:270:0,18758468
0:0:0:0:0:129:7:1:1:0,18295959
272,18847602
1:135:32,18633267
1:39:1:1,18060516
0,18602296
0,18032278
96:0:0,18502257
401,18228780
383,18112024
0,18256388
318,18243809
376:368:272:8:0,18606890
0,17866525
0,17813264
0,17936009
0:0,18089060
502:160:160:166:163,18546892
400:400:400:400:400:438:406,18508281
511,18189812
0:128:128:510:0:32:32:256:256:256:256,18250927
187,18129082
128,18428071
166,17945655
511,18190342
0:0,18437634
0,18737606
511,18646132
40,18887778
96:0:0:272:0:2:0:0:0:0:0:0:0:0:0:0:0,18150085
0,18686880
511,18858414
340:464,18563300
0:0:0:0:0:0:0:0,18013779
128,18053593
501,17924483
0,17954635
0,18541886
96:64:349:239:32:500:311:0:32:32:32:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:32:32:32:0:0:0:0:0:0:0:0:0:0,18606748
1:0,17952504
0,18205302
0,18101471
131:131:134:131,18229185
0:0:14:0,17869431
406:400,18417681
160:160:128:0:160:432:102:160:160:160:0:160:160:0,18619850
400:400:400:400:400,17880644
33:129:191:255,18394606
0,17834001
159,18656822
0,18767531
1:1:511,18887389
0:0,18743974
0,18233941
0,17884526
256,18612597
272,17996806
0,17960260
14:0:376:368:0:38:406:400:400:400:400:400:400:400:400,18712138
0,18207769
1:255:447:1:1,18837896
0:0,18084746
128,18241659
401,18295760
0,18695846
0,18168995
0,18870545
0:0:0,18393257
0,17862806
0,17923334
0,18205110
438:511,18760142
0,18523378
166:239,18449947
255,18025231
400:400,18779455
64,18545257
384:384,18613712
0,18125311
0,18401515
511:511:110:78:64:96:230:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192:192,18759803
160:160,18532660
0,18086852
0:0,18061829
511,17951373
0,18388642
0:6:0:0:0,17828134
257:261:511:1:1,17974619
0,18805840
437:511:444,18370650
311:288,18731248
416,18124242
511,18788662
128:130,18827434
6:134,18191043
96:324:406:400,18402639
304:304:304:272:278:278:31:272:272:272:272:272:272:272:272:272:272:272:272:272:272:272,18879402
0,18443053
511:255:191:1,17905993
0:0:0:0:0:0:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18362057
0:0,18585128
0,18789083
96:324:4,18805304
263:263:335,18325775
0,17924550
46:46:97,18654538
132:128:134:128:6:0:0:0:0:0:0:0:0:0:0:0,17812395
0:0,18186880
511,18348474
135:131:131,18267476
0,18567297
0,18338744
44,18063627
128:128:128:142:0:0:175:128:128,18699171
0,18485694
128:128:128:128:128:128:128:128:128:128:128,18076651
0,18728616
129:129,18726467
0:0:0,18446974
511,18037362
383:383:383,18582614
0,18112051
134:6:4:134:4:0:6:0:0:0:0:0:0:0:0,18360014
308,18087996
0,18721226
40,18860031
0:0:96:324:96,18827375
0,17981299
9,17970751
0:0:0:0:0:0,18455232
57:235:235:235:235:32:239:239:238:238:511:511:511:511:511:511:503,17600230
0:0:406:400,18435337
0:286,18581487
0,18689963
0,18172351
0,18012431
6:0,18227904
160:502:160:160:160,18582948
0,18043277
0,18215319
8:0:0:0,18052602
0,17828888
237,18841367
0,17972073
324:135,18386471
0:142:0:0,18232303
0,18519107
0,18193210
0,18256112
180:164:166:176:176:176:160:160:160:182:164:164:166:176:176:160:160:160:160:182:164:166:176:176:176:160:160:160:182:164:164:182:176:176:160:160:160:182:164:164:166:176,18445234
4,18635253
0:0,18189763
0,18310770
0,17922407
0:0:0:0:0:0:278:272:272:272,18665175
128,18042653
160:166:160:128,18320839
368,18730082
0,18055771
0,17988690
0,18775568
503,17900107
0:0,18869629
162,18462208
0,18252056
0,18689985
0,18892028
0:6,18145318
0:0:0:0:0,17843025
408:287:502,18602673
0,18298602
272:272:272:279:4:0:311:407:503,18404812
256:256:256:256:256:0:32,17944983
256:256:256:256:256:256:278:256:256:256:256:256:256:0:0:256:256:256:272,18650127
272:272:272:272:272:278:286,18402834
135:129,18109009
400,18623548
55:1,18046606
0:0:0,18122194
0,18553370
0,18427429
128:128,18508700
0,18743534
511,17851832
132,18489679
0,18119481
0,18834069
0,17818815
8:0:8:0,18547465
0,18444023
0:0,17944318
0,18126171
1,18348908
0,17908433
0,18805917
0,17998947
0,18296429
511,18373897
443,18899394
0,18506665
511:375:1:9,17844635
0,18344777
0:0:0:0:0:12:4:0:0:0:0:0:0:0:0,18818442
0,18581587
0,18587186
0,18764842
407:407:471:407:471:401:407:407:471,18349218
0:0,18415066
136:255:447,18371656
7:129,18336532
272,17937789
0,18553298
128:128:128:128:128:390:175:128:128,18723523
264:256:256:256:262:292:311:256:256:256:256:256:256:0:256:256:256:256:256:256:256:256:256:256:256:256:0:256:256:256:256:256:256:256:256:256:256:256:256:32:256:256:256:256,18799597
280,17898042
64,18708887
0,18620509
0:0,18257527
0,17881683
0,18746719
160:160:160:166:166:436:311:304:304:128:0:128:0:0:128:0:128:0:0:128:0:128:0:128:0:128:0:0:128:0:128:0:128:0:128:0:0:128:0:128:0:128:0:128:0,18736616
0,18038227
0:0:0,18614674
0,18781333
0,18193445
0:0:4:447:511:255:7:33,18348445
0,18050732
260:38:0,18288398
0:0:0:0:0,18182358
0:0,18597729
0,18098562
0,18660166
32:32:0,18828617
1:0,18268285
256,17865397
0,17921909
0:0,18134514
0:0:0:32:0:0:0:0:0:0:0:0:358:0:0:0:32:0:0:0:0:0:0:0:0:0:0:0:32:0:0:0,18189642
0:0:0:0:0:6:0,17964987
0:0,18178001
0,18038414
262:38,18319005
8,18548177
0,18113848
8,17841019
0,18212861
0,18229796
0,18451014
40,18389172
1:1,18019886
0,18550374
0,18278122
0,17904509
0:0:0,18577919
0,18163138
272:272:272:4:0,18373002
0,18175550
40,18656369
0:236,18427390
504:504:504:504,17992157
0,18283362
0,18817879
0,17815171
0:0,18251187
129,18012546
279:1:1,18892289
511,17839092
0,18560070
0,17878649
0,18063903
414,18705921
0,18340828
0,18519044
0,18305183
38,18244570
0,18767025
0:0,18177929
318,18225287
324:6:0:0,18493696
400,18034381
129:6:3:6:6:0:286:272:272:272:272:272:272:272:272:272:272:272:272,18790980
0,18213760
0,18569770
0,18635592
255:175:129:0,18051433
128:128:128:128:128:390:175:128:128,18698201
4:166:175:175:167:191:6:0:0:0:0:0:0:0:0:0:0:0:0:6:4:0,18750883
384:384,18257441
0:0,18593037
0:0:0:0,18373886
0:8:0,18282374
511,18330641
0:0:0:0:0:0:358:32:358:32:32:358:32:32:358:32:32:32:32:0:0:358:32:32:32:32:32:32:32:358:32:32:32:32:358:0:32:358:32:32:32:32:358:32:358:32:0:32:32,18651538
110:32,18709217
0,17910624
0,17920667
0,18857367
503:164,18597100
239,18584702
0:0:0:0,17877326
0,18391877
0,17974129
0,18111848
430:510:500,18711492
256:256:256:256:0,18268741
0,18194702
286,18228450
0,18607796
272:272:272:272:272:287:95:272:272:272:272:272:272,18786039
0:0:0,18103443
0,17968068
0,18868323
273:278:272,18752035
400,18083657
8,18425149
129,18126571
6:447,18071966
400:400:400:400:400:287:127:272:400:400:400,18786865
312:510:96,18861602
0,18207477
0,18741595
407:401:401:439:0:0:32:38:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,17865028
0:0:0:0:0:0:6:0,18895852
0:6:0:0,18551686
0,18224012
0:0,18664253
0:0:0:0:0:0:0:160:160:160:160:160:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18097244
0,18210623
0,18604373
0:0,18203472
6:0,18857211
0:0,17932355
0,18012327
0,18881116
0,18468210
415:166:128,18296450
0,17819435
272,17941000
400:400:400:436:166:1:0:6:0:1:1:388:31:32,17949766
400,18694286
0:0:96:1:175:272,18201037
0:0,18105459
0,18208948
0,17962836
1:129,18087162
224,18139854
47:511:417,18310321
239:239:191:191:191:191,18593999
511,18050851
0,18020609
0,18311549
406:400,18763902
401:401:273:401:273:273:281:0:0:0:0:0:0:0,18009508
2,18523053
224,18206446
0:0,18109864
511,18354945
0,18267071
166,18891252
96,18830385
239,18593362
510,18759213
1:39:1:1,18068078
0,18312670
0:128:160:160:160:272:502:160:0:160:160:160:0:160,18746243
272,18019426
0,18318919
343:337:1:127:0:404:175:128:128,18711152
501,17891172
0:0:14:369,18295954
0,18701568
32:32,18524099
32,18043157
0:0:0,18454872
0,17832181
0:166,17859251
41:167:407:135:191:161:167:160:160:160:169:255:38:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18139169
302:318:310,18145259
131:131:131:131:131:131:288:384:384:384:384:384:384,18250506
47,18063635
0:0,17832704
256:256:256:4,18624792
0:0:0:279:471:407:401,17823330
400:287:7:0:0:4:0:0:0:0:0:0:0:0,18790384
0,17834205
8:0:40,18533718
4:0,18869093
0:0:0:0:0:160:407:407:503,18519969
0,18037106
32,18543779
96,18488456
400,18781314
0:0:0:0:0:4:0:0:0:0:0:0:100:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18015026
0,18492142
0:0,17608048
0:0:0,18059518
1,17960471
46,17912614
96,18087601
4:0:0:0:0:0,18391323
166,17865595
511,18857766
0,18743227
278:278:471:278:471:447:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18328327
0:0,18263647
0,18369610
0,17605829
0,17835373
0,18748841
179,17831435
0:0:0:0:0:0:0:0:0:4:0:0:134,18121744
511,18780311
1,18112509
0,18022616
2:0,18406095
253,18675720
0,18039629
0,18290236
511,18627206
400:400:406:400,18347107
2:2:14:0:32:263:273,18515379
0,18381541
8:0:6:6,18786714
0:0,18086811
0,18109310
0:0:0:0:0:0:0:0,17959944
8,18675597
280:286:316,18377834
272:0:0:0,17840798
0:0:15:7:0:4:503:128:128:128:128,18788121
0,18313360
0:32:0:280:0:0:7:1:1:1,18303965
406:406:406:406:404:406:406:406:272:406:406:439:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18082648
500,18678584
382:324,18383613
235,18669931
6:0,18851328
505:505:505:505:505:505:505:505:505:505:505:505:6:0:0:0:0:0:0:0:0:0:0,18138556
38:32,18375348
503:400:400:400,18263026
6:46:46:46:46:46:6,18663534
511,18779390
0,18301206
447:511:511:511:135:167:511:447:511:511:135:135:14:0:0:0:0,18086989
162,18834642
0,18833245
0,18604022
0:0,18456120
0,18348090
0:0,18037202
0,18539383
310,18105889
0,17992659
7,18753073
0,18223575
130:130:130:130:130:388:230:130:130:130:130,18825217
0,18499373
0:0:0:0,18795203
0:0,18149821
509,18518069
511,18779566
272:272:272:272:272:272:272:272:272:272:272:278:286:272:272:272,17942098
368,18583176
0:0,18456105
174,18092212
511,18438767
6:2:2,18514158
0:384:384:480:448:68:95:56:48:48:48,18436183
0:0:0:0:0:388:110,18864252
0,18196824
294:6:0,18824885
0,18723207
302,18098188
0,18580631
0,18206364
0,17875294
400:400:400:400:400:438:400,17867912
0,17885414
0:0,18172561
400:503:400,18601258
0:0,17956856
407:403,18827862
0,18704411
0,18196642
385:503:497,18705566
0,18056106
0,18757609
0:0:0:0:0:134:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:128:0:0:0:0:0:0:0:0:0:0:0:0,18572248
0,18736167
0,17926217
0,17985416
0:0,18518554
32:32:62:32,18596672
0,18260437
40:0:8:0:32:166:286:272:272:272:272:272:272:272:272:272,18432383
511,17832211
0:0:0,18214121
0,18502837
0,17927279
0,17979756
0,18012249
511,18611922
160,17838017
227,18356863
0:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0,18359036
32,18604398
0,18018428
0,18242374
0,17992539
511:511:0:0:0:255:7:1:1:1:1,18282192
0,18875013
0,18679892
32:32:32:32:32:0:226:160:128:0:160:160:160,18879002
0:0:38:32,18879129
0:8:0:0:0:0:4,18676102
0,18425851
0,18542376
24,17970486
0,18283669
160,18739287
0,18066917
273,17909894
32,18492060
8:172,18443531
32:32:511,18722522
446,18162784
97:0,17602939
0:0,18870014
128:128:128:128:128:390:175:128:128,18726369
260,18244630
0:0,18115759
436,18586371
511,17873722
0,17813364
4:134:4:0:38:0:166:128:128:128:128:128:160:128:128:128:128:128:128:128:160:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:128:0,18733450
0,17882122
310:38,18275681
8:0:0,18306552
0:0:0,18532962
0:256:256:256:256:0:383:400:400:400:400,18748397
0,18222408
0,18199108
406:384:390:423:6:0:6:0:0:0:0:0:0:0:0:0,18534555
0,17869933
1:129,18144088
134,18247158
137:129,18178149
40,18464957
0,18465828
511:503,18313044
400:400:400:400:400:447,18548650
0:0:0:0,17899206
0:8,18884019
0:0:0:0:0,18751372
0,18547278
0,18184209
0,18179211
511:470,18760146
272,17938097
446:96:0,18291492
0:0,18033620
1:39:1:1,18033675
511,17873704
0,18424955
272,18230980
0,17897039
6:2:2:2:6:0:19,18529585
406:6:0:1:0:4:502,18771986
0,18568237
0:0:0:128:6:0:0:0:0:0:0:0:0:0:0,18535067
0:0:0,17910846
40,18819041
12:96:0,18560385
6:0:0:0:0,18745209
0,17972372
0,18763808
128:166:511:1:1,18065840
0,18411639
0:38:0,18776885
256:256:503:272,18630075
0,18425348
0,18233081
471:278:471:471,18388785
0,18852851
0,18220772
0,18482977
0,17828647
0,18184229
102:0,18342222
0,17890179
56,18440761
0:0,17976223
8:0:0:272:272:272:401,17845219
0,18300587
0,17853543
0:0:38:32,18291741
0:0,18621780
1:5:511:511:511:1:1:1,17990844
0,18835155
400:400,18451147
0:0:0:164:6:6:0:0:0:0:0:0:0:0:0:0:0:0:6:4:4,18814825
0,18522307
496,17850320
0:0:0:0:0:0:0:0:0,18175447
0:174:0:0,18231841
498,18551228
2,18523206
0,18683390
0,18094595
0:0,18785052
0,17973904
0,18774290
